"Year","Total Number of Entries Available","Number of Structures Released Annually"
"2024","190,845","5,262"
"2023","185,583","12,057"
"2022","173,526","11,748"
"2021","161,778","10,353"
"2020","151,425","11,949"
"2019","139,476","9,868"
"2018","129,608","9,628"
"2017","119,980","9,647"
"2016","110,333","9,409"
"2015","100,924","8,003"
"2014","92,921","8,264"
"2013","84,657","8,286"
"2012","76,371","7,731"
"2011","68,640","7,024"
"2010","61,616","6,903"
"2009","54,713","6,610"
"2008","48,103","6,255"
"2007","41,848","6,514"
"2006","35,334","5,735"
"2005","29,599","4,792"
"2004","24,807","4,563"
"2003","20,244","3,641"
"2002","16,603","2,618"
"2001","13,985","2,424"
"2000","11,561","2,265"
"1999","9,296","2,033"
"1998","7,263","1,750"
"1997","5,513","1,294"
"1996","4,219","919"
"1995","3,300","799"
"1994","2,501","1,135"
"1993","1,366","619"
"1992","747","147"
"1991","600","163"
"1990","437","122"
"1989","315","61"
"1988","254","50"
"1987","204","18"
"1986","186","16"
"1985","170","18"
"1984","152","21"
"1983","131","35"
"1982","96","28"
"1981","68","12"
"1980","56","6"
"1979","50","10"
"1978","40","4"
"1977","36","23"
"1976","13","13"
