"Year","Total Number of Entries Available","Number of Structures Released Annually"
"2024","1,831","40"
"2023","1,791","93"
"2022","1,698","94"
"2021","1,604","82"
"2020","1,522","102"
"2019","1,420","73"
"2018","1,347","73"
"2017","1,274","72"
"2016","1,202","69"
"2015","1,133","64"
"2014","1,069","73"
"2013","996","55"
"2012","941","66"
"2011","875","70"
"2010","805","70"
"2009","735","60"
"2008","675","78"
"2007","597","75"
"2006","522","77"
"2005","445","62"
"2004","383","48"
"2003","335","64"
"2002","271","36"
"2001","235","39"
"2000","196","44"
"1999","152","43"
"1998","109","29"
"1997","80","44"
"1996","36","14"
"1995","22","9"
"1994","13","4"
"1991","9","1"
"1987","8","4"
"1986","4","2"
"1979","2","1"
"1978","1","1"
