Length,Non-standard basepairs,F1 score
54.0,0.0,1.0
189.0,2.0,0.9142857193946838
216.0,3.0,0.9464285373687744
226.0,4.0,0.9661016464233398
230.0,3.0,0.9473683834075928
244.0,7.0,0.9207547307014464
249.0,7.0,0.9047618508338928
260.0,5.0,0.9436619877815248
260.0,5.0,0.9436619877815248
260.0,6.0,0.936170220375061
261.0,6.0,0.9379310011863708
261.0,5.0,0.9064748287200928
262.0,5.0,0.911764681339264
264.0,5.0,0.9452055096626282
264.0,5.0,0.9452055096626282
264.0,5.0,0.9452055096626282
264.0,5.0,0.9452055096626282
267.0,4.0,0.9127516746520996
268.0,3.0,0.973913073539734
268.0,3.0,0.973913073539734
282.0,5.0,0.9491525292396544
296.0,3.0,0.9489050507545472
315.0,3.0,0.9790210127830504
326.0,7.0,0.9397590160369872
333.0,5.0,0.8226949572563171
345.0,5.0,0.914893627166748
361.0,7.0,0.916201114654541
369.0,4.0,0.9450549483299256
372.0,10.0,0.8838526606559753
376.0,5.0,0.9275362491607666
378.0,5.0,0.9333333373069764
379.0,5.0,0.92233008146286
383.0,9.0,0.9230769276618958
386.0,7.0,0.9128205180168152
389.0,8.0,0.9449838399887084
392.0,5.0,0.9558441042900084
397.0,6.0,0.9238094687461852
400.0,5.0,0.9238845109939576
401.0,5.0,0.9246231317520142
403.0,10.0,0.9411765336990356
408.0,6.0,0.8888888359069824
408.0,4.0,0.9296636581420898
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
411.0,9.0,0.9429429173469543
413.0,6.0,0.9285714626312256
418.0,7.0,0.9491525292396544
418.0,5.0,0.9363636374473572
420.0,8.0,0.9200000166893004
422.0,8.0,0.9287598729133606
424.0,9.0,0.9498680233955384
424.0,8.0,0.9553805589675904
424.0,8.0,0.9553805589675904
427.0,7.0,0.9330254197120668
431.0,7.0,0.9065421223640442
433.0,7.0,0.9284164905548096
435.0,6.0,0.926503360271454
437.0,8.0,0.900990068912506
441.0,5.0,0.9339622259140016
443.0,10.0,0.9426751732826232
446.0,5.0,0.9363636374473572
448.0,9.0,0.939393937587738
451.0,13.0,0.918181836605072
455.0,9.0,0.9375
459.0,9.0,0.9266408681869508
461.0,6.0,0.9420849084854126
464.0,10.0,0.9336016178131104
464.0,10.0,0.9336016178131104
464.0,4.0,0.9369369149208068
464.0,10.0,0.9336016178131104
