,precision,recall,f1,precision_shift,recall_shift,f1_shift,f1_weighted
Ufold_under600,0.9512201535023698,0.9788904021294368,0.964477569603581,0.9567905327907944,0.9849231915375208,0.97025499213988,0.9344031624267468
hotknots_under600,0.6992149338438294,0.7280920869259194,0.7120741504165047,0.7223503328143954,0.7526290278973418,0.7358265588951972,0.6623577547215819
CNNfold_under600,0.9553860027534884,0.9596176449449978,0.9565119711906978,0.9598580205027044,0.9639991382387488,0.960922640791989,0.9289397009958286
viennaRNA_under600,0.588390261732288,0.6579201484355305,0.6199504016260748,0.6071139911803876,0.6794941313786691,0.6399433437855105,0.5853004274749363
nussinov_under600,0.1439772634596981,0.1869157217586159,0.1624259264058047,0.1663096742332268,0.2157612732088309,0.1875640662271761,0.1113795783231758
contrafold_under600,0.6522688741375514,0.7260435835775461,0.6852900108134948,0.6707211246443404,0.747220885584118,0.7049212321169462,0.6519718182443376
RNA_Unet_under600,0.9834545735931232,0.9507554818122296,0.9657447156278012,0.9883918264038936,0.9552375029129686,0.9703491239756242,0.942389373865768
CNNfold,0.955819551220962,0.9335441310500922,0.943263545331126,0.9604492017180932,0.9379508646390832,0.9477648474045118,0.915304047657678
viennaRNA,0.530977594732957,0.5914130058952901,0.5585892273529842,0.5501546172871985,0.6132000777935684,0.5789427569763599,0.447540231306517
nussinov,0.1025841697884819,0.1330555296376237,0.1156810825361777,0.1186664850831363,0.1537946925250025,0.1337709579889153,0.0286372951382725
contrafold,0.6111739802944933,0.6661068556845349,0.6357741253977677,0.6290076180539443,0.6859543495663414,0.6544815117859776,0.544484794610657
RNA_Unet,0.986790044605732,0.928151454134892,0.955350079534028,0.991119138736308,0.9320440416673644,0.9593826280033212,0.9337303172756596
RNAUnet16_under600,0.9765327769366711,0.9785541743555498,0.9768459313734507,0.9793370629250603,0.981245594860114,0.9795816707432694,0.9644739134496391
RNAUnet16,0.9822022053751984,0.9676991899821636,0.9742209844150633,0.984817328475255,0.9701944276815998,0.9767669275568703,0.9670170610029948
