,8-channel,9-channel,17-channel
60,0.019448518753051758,0.05657362937927246,0.005148013432820638
60,0.0014138221740722656,0.005977233250935872,0.004303932189941406
61,0.0014305909474690754,0.006134748458862305,0.0045634110768636065
63,0.0015641053517659504,0.006438811620076497,0.005218108495076497
65,0.0016772747039794922,0.006832679112752278,0.0053789615631103516
67,0.0017801920572916667,0.007415374120076497,0.0054887135823567705
70,0.0019124348958333333,0.007867972056070963,0.00612942377726237
73,0.002028306325276693,0.009035110473632812,0.006834586461385091
77,0.002275864283243815,0.009362538655598959,0.007736921310424805
81,0.0024923483530680337,0.010720411936442057,0.008232911427815756
86,0.002833207448323568,0.011721134185791016,0.009417215983072916
91,0.003206491470336914,0.013493935267130533,0.01023085912068685
96,0.0035379727681477866,0.01507711410522461,0.012067635854085287
102,0.003981192906697591,0.017695109049479168,0.013225158055623373
108,0.00440216064453125,0.019594510396321613,0.015130996704101562
115,0.004998842875162761,0.021231651306152344,0.01663629213968913
122,0.005888223648071289,0.02554941177368164,0.019535064697265625
129,0.006412982940673828,0.027658462524414062,0.021320819854736328
137,0.007332960764567058,0.031727870305379234,0.0248717466990153
146,0.00843962033589681,0.035187085469563804,0.0283053716023763
155,0.009195407231648764,0.04061309496561686,0.031315247217814125
164,0.010528882344563803,0.045069376627604164,0.035404364267985024
174,0.011928558349609375,0.05123543739318848,0.039853811264038086
184,0.013370593388875326,0.05725566546122233,0.04498124122619629
195,0.015277465184529623,0.06446377436319987,0.05000678698221842
206,0.01703222592671712,0.072052001953125,0.05545870463053385
217,0.018677790959676106,0.07733742396036784,0.0629872481028239
229,0.0256501038869222,0.09142144521077473,0.06813247998555501
241,0.02554162343343099,0.0962669849395752,0.07720613479614258
254,0.027187347412109375,0.10972889264424641,0.08601681391398112
267,0.028644641240437824,0.12361447016398112,0.09802158673604329
281,0.03153491020202637,0.13590010007222494,0.10663541158040364
295,0.0348807175954183,0.15499401092529297,0.11810032526652019
309,0.038349310557047524,0.17163729667663574,0.13164369265238443
324,0.04222536087036133,0.1884309450785319,0.14264909426371256
339,0.04651149113972982,0.19905598958333334,0.15965191523234049
355,0.05662107467651367,0.21765867869059244,0.17452160517374674
371,0.05739784240722656,0.2425550619761149,0.1892693837483724
388,0.06167833010355631,0.2624674638112386,0.2141242822011312
405,0.06699514389038086,0.29758214950561523,0.23471768697102866
423,0.07511576016743977,0.3297407627105713,0.2533291180928548
441,0.08022252718607585,0.3434131145477295,0.2733014424641927
459,0.08643380800882976,0.3743095397949219,0.3015078703562419
478,0.09308099746704102,0.4084499677022298,0.33139975865681964
497,0.10321648915608723,0.4468207359313965,0.35220130284627277
517,0.11037611961364746,0.48351391156514484,0.3862931728363037
537,0.11837093035380046,0.5293623606363932,0.4100313186645508
557,0.12761378288269043,0.5614300568898519,0.44475483894348145
578,0.13531668980916342,0.6204720338185629,0.4739290078481038
600,0.15102020899454752,0.6468004385630289,0.520081361134847
