,count,lengths,precision,recall,F1,precision_shift,recall_shift,F1_shift
tmRNA,462,102-437,0.967062967551219,0.913182036378683,0.9374738149183653,0.9746328290406759,0.9202953438351165,0.9447851689346941
srp,926,28-533,0.9088968089248655,0.8204490450124375,0.8566914352851861,0.9293694272798287,0.8390066658848692,0.8759783688232656
5s,1283,102-135,0.9862135514465981,0.9821653124511196,0.9839068597308938,0.9941048846055266,0.9901260605382436,0.9918215151699092
RNaseP,454,120-486,0.9422582821830254,0.7480765884077496,0.8306848021133881,0.9476684679806495,0.7523442452633958,0.8354333556105387
grp1,98,210-736,0.759625609888106,0.7099521759213233,0.7249166317740265,0.783852580706684,0.7322614892404906,0.7477812453800318
tRNA,557,54-93,0.9638086543476988,0.9706425431386787,0.9637776883971113,0.9655255460225487,0.97241740220325,0.9654950026549813
telomerase,37,382-559,0.9067447435211491,0.8136507441868653,0.85339682972109,0.9168849780752852,0.8228535144715696,0.863006997752834
16s,110,73-1995,0.7737905811179768,0.5726563267071139,0.6429676776582545,0.7854951506311243,0.5787048701874234,0.650660868937319
grp2,11,619-780,0.38130490346388385,0.23692884363911368,0.28828953206539154,0.39742173389955,0.24597414379770105,0.29979726672172546
23s,35,242-2968,0.6378623826163156,0.27185392209461756,0.3751601300069264,0.6577189198562077,0.2806039082152503,0.38704481678349634
