,count,lengths,precision,recall,F1,precision_shift,recall_shift,F1_shift
tmRNA,462,102-437,0.9708585914595302,0.9110877106522585,0.9379367462613366,0.9772668624079073,0.9170002904095691,0.9440707413407116
srp,926,28-533,0.8935007020412717,0.7903620878487954,0.8310250713938513,0.9158795662948431,0.8094858250240785,0.8511649331411841
5s,1283,102-135,0.9862159520782536,0.9613445651131687,0.9733525483011735,0.9942883561109066,0.9693506413015275,0.9813795328976489
RNaseP,454,120-486,0.9359085925153173,0.723946097023818,0.8132435119493417,0.9413646301705931,0.7281092672653923,0.8179261958809151
grp1,98,210-736,0.7644471891072332,0.6930336439031728,0.7167604447019343,0.7831172651174118,0.7104601425936028,0.7346269190311432
tRNA,557,54-93,0.9600319696500015,0.919782321378455,0.9345749629731667,0.9625260059452571,0.9220044385019817,0.9368279919536581
telomerase,37,382-559,0.9274738463195594,0.7335656824949626,0.8121896241162274,0.9364021017744735,0.7397865854405068,0.8194448061891504
16s,110,73-1995,0.7936648661440069,0.5648073973980817,0.6421107457442717,0.8066435418345711,0.5725329125469382,0.6514437621290033
grp2,11,619-780,0.35711209746924316,0.21693250773982567,0.26622437008402566,0.36315367303111334,0.22045947035605257,0.27067796005444095
23s,35,242-2968,0.651491607938494,0.25972422042063303,0.36496644083942686,0.6751570309911455,0.26865807324647906,0.37777583620377947
