,count,lengths,precision,recall,F1,precision_shift,recall_shift,F1_shift
5s,1283,102-135,0.02386031543439659,0.03927891050332566,0.029660179353059958,0.04740471617969817,0.07815140366571682,0.05895560864861459
srp,926,28-533,0.024402840512042327,0.038786518735485255,0.02978294118273335,0.057736837359438964,0.09194300309443126,0.07052238898544891
tRNA,1482,54-95,0.032314891622159204,0.05655929195102651,0.04108790476465856,0.0704266157676183,0.12333844813635113,0.08956139420464575
tmRNA,526,102-437,0.008711655140843785,0.015930603901030554,0.011133638528412901,0.021048142067457722,0.03835516419091718,0.026906512609502376
RNaseP,500,120-486,0.008457594507373862,0.012989283652976151,0.010167032077442848,0.01888407669216394,0.028863658623769876,0.022651841341983524
grp1,98,210-736,0.0031273551000167957,0.005513930465189762,0.003969766997865253,0.007758905327099597,0.013568973881477583,0.009823070154810416
telomerase,41,382-559,0.0010392688918949514,0.0021704649779854656,0.0014031062970255828,0.001966523574438022,0.004065205751940956,0.002646936762441934
16s,110,73-1995,0.0028016363090666023,0.00471934318034485,0.0034972809974781346,0.00602909678445111,0.01036888091105289,0.007579128468536164
grp2,11,619-780,0.0002642706121233364,0.0006835270165042363,0.00038117017935622726,0.0007707279344851273,0.0022645546123385273,0.0011483354663307
23s,35,242-2968,0.005961895509556443,0.00909994812349653,0.007201214884740407,0.01073597187808313,0.016373957364287737,0.012964151079566853
16S_rRNA,1261,54-1689,0.0006121638644849218,0.0009550699535986203,0.0007443420534409067,0.0013100886230913086,0.002095404568679989,0.0016035425891615216
5S_rRNA,1140,106-132,0.020880172806873654,0.03511505052692404,0.026167654451963146,0.04402011566746391,0.07424982464953996,0.05522371617619667
group_I_intron,214,163-593,0.00313970706834691,0.004916746772077164,0.0038271260177977556,0.007833632461021629,0.012418263265427854,0.00959378718311471
SRP,56,30-533,0.008302032581663543,0.013476107602140717,0.010194592784890618,0.02291528908036914,0.03704912044174437,0.02817222832735361
