,count,lengths,precision,recall,F1,precision_shift,recall_shift,F1_shift
5s,1283,102-135,0.02386031543439659,0.03927891050332566,0.029660179353059958,0.04740471617969817,0.07815140366571682,0.05895560864861459
srp,926,28-533,0.024402840512042327,0.038786518735485255,0.02978294118273335,0.057736837359438964,0.09194300309443126,0.07052238898544891
tRNA,557,54-93,0.03133171362404442,0.05504277826719908,0.039871051024705756,0.06585076963278186,0.11607523780831101,0.08388109584765331
tmRNA,462,102-437,0.00882422923235407,0.016021123744579615,0.011261390240911339,0.02141693344105889,0.038636043849219745,0.027320025847555492
RNaseP,454,120-486,0.008959006083234808,0.01367187885144963,0.010745238218382651,0.019973593353732826,0.030310526015319025,0.023900879795215855
grp1,98,210-736,0.0031273551000167957,0.005513930465189762,0.003969766997865253,0.007758905327099597,0.013568973881477583,0.009823070154810416
telomerase,37,382-559,0.0010309659095631947,0.0021571554746982135,0.001392468961106754,0.002058464341570381,0.004256733089081324,0.0027707675849464944
16s,110,73-1995,0.0028016363090666023,0.00471934318034485,0.0034972809974781346,0.00602909678445111,0.01036888091105289,0.007579128468536164
grp2,11,619-780,0.0002642706121233364,0.0006835270165042363,0.00038117017935622726,0.0007707279344851273,0.0022645546123385273,0.0011483354663307
23s,35,242-2968,0.005961895509556443,0.00909994812349653,0.007201214884740407,0.01073597187808313,0.016373957364287737,0.012964151079566853
