length,family,nussinov_precision,nussinov_recall,nussinov_f1,nussinov_precision_shift,nussinov_recall_shift,nussinov_f1_shift,viennaRNA_precision,viennaRNA_recall,viennaRNA_f1,viennaRNA_precision_shift,viennaRNA_recall_shift,viennaRNA_f1_shift,contrafold_precision,contrafold_recall,contrafold_f1,contrafold_precision_shift,contrafold_recall_shift,contrafold_f1_shift,CNNfold_precision,CNNfold_recall,CNNfold_f1,CNNfold_precision_shift,CNNfold_recall_shift,CNNfold_f1_shift,RNAUnet_precision,RNAUnet_recall,RNAUnet_f1,RNAUnet_precision_shift,RNAUnet_recall_shift,RNAUnet_f1_shift
355,tmRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.3363636434078216,0.3775510191917419,0.3557692468166351,0.3909091055393219,0.4387755095958709,0.4134615361690521,0.40625,0.3979591727256775,0.4020618498325348,0.46875,0.4591836631298065,0.4639174938201904,0.8600000143051147,0.8775510191917419,0.868686854839325,0.9200000166893004,0.9387755393981934,0.9292929172515868,1.0,0.9897959232330322,0.9948717951774596,1.0,0.9897959232330322,0.9948717951774596
111,SRP,0.3499999940395355,0.5185185074806213,0.4179104566574096,0.4749999940395355,0.7037037014961243,0.5671641826629639,0.4864864945411682,0.6666666865348816,0.5625,0.5405405163764954,0.7407407164573669,0.625,0.4864864945411682,0.6666666865348816,0.5625,0.5405405163764954,0.7407407164573669,0.625,0.2758620679378509,0.2962962985038757,0.2857142984867096,0.2758620679378509,0.2962962985038757,0.2857142984867096,0.5757575631141663,0.7037037014961243,0.6333333253860474,0.6363636255264282,0.7777777910232544,0.699999988079071
120,5S rRNA,0.170731708407402,0.2000000029802322,0.1842105239629745,0.2195121943950653,0.2571428716182709,0.2368421107530594,0.675000011920929,0.7714285850524902,0.7200000286102295,0.824999988079071,0.9428571462631226,0.8799999952316284,0.824999988079071,0.9428571462631226,0.8799999952316284,0.824999988079071,0.9428571462631226,0.8799999952316284,0.9696969985961914,0.9142857193946838,0.9411765336990356,1.0303030014038086,0.9714285731315612,1.0,0.9696969985961914,0.9142857193946838,0.9411765336990356,1.0303030014038086,0.9714285731315612,1.0
340,RNaseP,0.0434782616794109,0.0485436879098415,0.0458715595304966,0.0434782616794109,0.0485436879098415,0.0458715595304966,0.5803571343421936,0.6310679316520691,0.6046510934829712,0.6071428656578064,0.6601941585540771,0.6325581073760986,0.582524299621582,0.582524299621582,0.582524299621582,0.5922330021858215,0.5922330021858215,0.5922330021858215,0.9479166865348816,0.8834951519966125,0.9145728349685668,0.9479166865348816,0.8834951519966125,0.9145728349685668,1.0,0.7961165308952332,0.8864864706993103,1.0,0.7961165308952332,0.8864864706993103
119,5S rRNA,0.2142857164144516,0.2571428716182709,0.2337662428617477,0.2142857164144516,0.2571428716182709,0.2337662428617477,0.8157894611358643,0.8857142925262451,0.8493151068687439,0.8421052694320679,0.9142857193946838,0.8767123222351074,0.7560975551605225,0.8857142925262451,0.815789520740509,0.8048780560493469,0.9428571462631226,0.8684210181236267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
121,5S rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.8717948794364929,0.9444444179534912,0.90666663646698,0.8717948794364929,0.9444444179534912,0.90666663646698,0.75,0.8333333134651184,0.7894737124443054,0.8500000238418579,0.9444444179534912,0.8947368264198303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222089767456,0.98591548204422,1.0,0.9722222089767456,0.98591548204422
122,5S rRNA,0.2000000029802322,0.2285714298486709,0.213333323597908,0.2000000029802322,0.2285714298486709,0.213333323597908,0.6341463327407837,0.7428571581840515,0.6842105984687805,0.6341463327407837,0.7428571581840515,0.6842105984687805,0.8947368264198303,0.9714285731315612,0.931506872177124,0.8947368264198303,0.9714285731315612,0.931506872177124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
118,5S rRNA,0.0930232554674148,0.1176470592617988,0.1038961037993431,0.1627907007932663,0.2058823555707931,0.1818181872367859,0.675000011920929,0.7941176295280457,0.7297297120094299,0.75,0.8823529481887817,0.8108108639717102,0.4857142865657806,0.5,0.4927535951137543,0.5142857432365417,0.529411792755127,0.5217391848564148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.970588207244873,0.9850746393203736,1.0,0.970588207244873,0.9850746393203736
118,5S rRNA,0.190476194024086,0.2285714298486709,0.2077922075986862,0.190476194024086,0.2285714298486709,0.2077922075986862,0.6486486196517944,0.6857143044471741,0.6666666269302368,0.6486486196517944,0.6857143044471741,0.6666666269302368,0.7948718070983887,0.8857142925262451,0.8378378748893738,0.7948718070983887,0.8857142925262451,0.8378378748893738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
330,tmRNA,0.0569105707108974,0.1842105239629745,0.0869565159082412,0.065040647983551,0.2105263173580169,0.0993788838386535,0.0642201825976371,0.1842105239629745,0.095238097012043,0.0642201825976371,0.1842105239629745,0.095238097012043,0.1898734122514724,0.3947368562221527,0.2564102411270141,0.1898734122514724,0.3947368562221527,0.2564102411270141,0.6857143044471741,0.6315789222717285,0.6575342416763306,0.6857143044471741,0.6315789222717285,0.6575342416763306,0.9629629850387572,0.6842105388641357,0.8000000715255737,0.9629629850387572,0.6842105388641357,0.8000000715255737
420,tmRNA,0.2156862765550613,0.2727272808551788,0.2408759146928787,0.2418300658464431,0.3057851195335388,0.2700729966163635,0.5600000023841858,0.5785123705863953,0.5691056847572327,0.5839999914169312,0.6033057570457458,0.5934959650039673,0.4954954981803894,0.4545454680919647,0.4741379618644714,0.522522509098053,0.4793388545513153,0.5,1.0,0.9256198406219482,0.9613733887672424,1.0,0.9256198406219482,0.9613733887672424,1.0,0.942148745059967,0.9702128171920776,1.0,0.942148745059967,0.9702128171920776
116,5S rRNA,0.1463414579629898,0.1875,0.1643835753202438,0.195121943950653,0.25,0.2191780805587768,0.6388888955116272,0.71875,0.6764706373214722,0.7777777910232544,0.875,0.8235294222831726,0.6388888955116272,0.71875,0.6764706373214722,0.7777777910232544,0.875,0.8235294222831726,1.0,0.875,0.9333333373069764,1.0,0.875,0.9333333373069764,0.84375,0.84375,0.84375,0.96875,0.96875,0.96875
120,5S rRNA,0.1428571492433548,0.1875,0.162162184715271,0.2142857164144516,0.28125,0.2432432323694229,0.1315789520740509,0.15625,0.1428571343421936,0.2368421107530594,0.28125,0.2571428716182709,0.2926829159259796,0.375,0.3287671506404876,0.3658536672592163,0.46875,0.4109588861465454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96875,0.9841269850730896,1.0,0.96875,0.9841269850730896
379,RNaseP,0.0615384615957737,0.0776699036359787,0.0686695277690887,0.0615384615957737,0.0776699036359787,0.0686695277690887,0.5491803288459778,0.6504854559898376,0.5955555438995361,0.5901639461517334,0.6990291476249695,0.6399999856948853,0.5882353186607361,0.6796116232872009,0.6306306719779968,0.5966386795043945,0.6893203854560852,0.639639675617218,0.6701030731201172,0.6310679316520691,0.6499999165534973,0.7010309100151062,0.6601941585540771,0.6799999475479126,0.7816091775894165,0.6601941585540771,0.7157894372940063,0.8160919547080994,0.6893203854560852,0.7473683953285217
607,group I intron,0.0,0.0,0.0,0.0,0.0,0.0,0.2762430906295776,0.7142857313156128,0.3984063863754272,0.2762430906295776,0.7142857313156128,0.3984063863754272,0.2899408340454101,0.699999988079071,0.4100418388843536,0.2899408340454101,0.699999988079071,0.4100418388843536,0.4629629552364349,0.7142857313156128,0.5617977380752563,0.4907407462596893,0.7571428418159485,0.5955056548118591,0.3820224702358246,0.4857142865657806,0.4276729524135589,0.3820224702358246,0.4857142865657806,0.4276729524135589
