length,family,f1
118,5S rRNA,0.0879120901226997
120,5S rRNA,0.1162790730595588
119,5S rRNA,0.0454545468091964
118,5S rRNA,0.0
122,5S rRNA,0.0705882385373115
111,SRP,0.0
121,5S rRNA,0.0210526306182146
76,tRNA,0.0350877195596694
120,5S rRNA,0.0666666701436042
116,5S rRNA,0.0232558138668537
120,5S rRNA,0.0227272734045982
119,5S rRNA,0.0215053763240575
270,SRP,0.0
120,5S rRNA,0.0217391308397054
355,tmRNA,0.0074349446222186
340,RNaseP,0.0
314,RNaseP,0.0240963865071535
118,5S rRNA,0.0219780206680297
330,tmRNA,0.0
120,5S rRNA,0.0212765969336032
120,5S rRNA,0.0659340694546699
118,5S rRNA,0.0459770113229751
379,RNaseP,0.022641509771347
118,5S rRNA,0.0
384,tmRNA,0.0212765950709581
420,tmRNA,0.012861737050116
270,SRP,0.0182648412883281
118,5S rRNA,0.0652173906564712
58,SRP,0.0
280,SRP,0.0
125,5S rRNA,0.0425531938672065
450,group I intron,0.0065146582201123
75,tRNA,0.0
352,RNaseP,0.0081967208534479
103,SRP,0.0740740746259689
302,SRP,0.0
126,5S rRNA,0.0
117,5S rRNA,0.0449438206851482
122,5S rRNA,0.0645161271095275
77,SRP,0.0333333350718021
269,SRP,0.0
118,5S rRNA,0.0439560450613498
117,5S rRNA,0.0439560487866401
86,tRNA,0.0
305,SRP,0.0
370,tmRNA,0.0071942443028092
367,tmRNA,0.0216606520116329
375,RNaseP,0.0223048310726881
350,tmRNA,0.0218181833624839
308,SRP,0.0
118,SRP,0.0210526324808597
84,tRNA,0.0
119,5S rRNA,0.0681818202137947
115,SRP,0.0
101,SRP,0.0506329089403152
122,5S rRNA,0.0224719103425741
119,5S rRNA,0.0217391289770603
118,5S rRNA,0.0217391308397054
121,5S rRNA,0.0217391308397054
607,group I intron,0.0
76,tRNA,0.036363635212183
93,SRP,0.0983606502413749
305,RNaseP,0.00947867333889
75,tRNA,0.0
120,5S rRNA,0.0459770150482654
121,5S rRNA,0.0697674453258514
266,RNaseP,0.0
386,tmRNA,0.0070175444707274
106,SRP,0.0487804859876632
120,5S rRNA,0.0210526306182146
301,SRP,0.0085106380283832
119,5S rRNA,0.0
120,5S rRNA,0.0421052612364292
120,5S rRNA,0.0
120,5S rRNA,0.0210526324808597
356,RNaseP,0.0081967208534479
120,5S rRNA,0.0217391308397054
249,RNaseP,0.0344827584922313
122,5S rRNA,0.0219780206680297
363,tmRNA,0.0149812726303935
270,SRP,0.0182648412883281
355,tmRNA,0.0070175440050661
303,RNaseP,0.0095238098874688
377,tmRNA,0.0215053763240575
76,tRNA,0.0
75,tRNA,0.0
120,5S rRNA,0.0430107526481151
294,RNaseP,0.0402010045945644
370,tmRNA,0.0143369175493717
304,RNaseP,0.0096618365496397
120,5S rRNA,0.0217391308397054
117,5S rRNA,0.0
114,5S rRNA,0.0449438244104385
122,5S rRNA,0.0421052612364292
76,tRNA,0.0689655169844627
242,SRP,0.0209424085915088
320,RNaseP,0.0
390,tmRNA,0.0
117,5S rRNA,0.0
364,tmRNA,0.0142348753288388
76,tRNA,0.0338983051478862
125,5S rRNA,0.0219780225306749
120,5S rRNA,0.0
