example,family,length,precision,recall,F1,file
tRNA_1,tRNA,64,0.9090909361839294,0.6060606241226196,0.7272728085517883,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/tRNA_database/tdbD00002395.ct
tRNA_2,tRNA,70,1.0,0.9714285731315613,0.9855071902275085,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/tRNA_database/tdbD00003258.ct
tRNA_3,tRNA,70,0.8947368264198303,0.8947368264198303,0.8947368264198303,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/tRNA_database/tdbD00010500.ct
16S_rRNA,16S_rRNA,54,1.0,1.0,1.0,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/16S_rRNA_database/Bacilli/X89895.ct
pseudoknot1,16S_rRNA,189,1.0,0.8421052694320679,0.9142857193946838,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/16S_rRNA_database/Bacilli/AY459331.ct
5S_rRNA,5S_rRNA,106,0.9166666865348816,0.8301886916160583,0.8712871074676514,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/5S_rRNA_database/Bacteria/B01644.ct
pseudoknot2,5S_rRNA,115,0.09677419066429138,0.095238097012043,0.09600000083446503,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/5S_rRNA_database/Bacteria/B05351.ct
group_I_intron,group_I_intron,208,0.9636363387107849,0.9217391014099121,0.9422221183776855,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/group_I_intron_database/IC3/Cst.b.trnM.ct
srp,SRP,30,1.0,0.1428571492433548,0.25,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/SRP_database/long_bacterial/List.wels._AM263198.ct
tmRNA,tmRNA,289,0.8571428656578064,0.24161073565483093,0.37696337699890137,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/tmRNA_database/envi.sequ._TRW-356-1.ct
RNAaseP,RNaseP,196,0.6666666865348816,0.4878048896789551,0.563380241394043,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/RNaseP_database/nuclear/C.opuntiae.ct
telomerase,telomerase,443,0.9354838728904724,0.7837837934494019,0.8529412150382996,/scratch/35224107/tmpec1j8tyv/RNAStrAlign-master-aedbaf9e95ebad34d15752fe1b750f5ff3960bca/telomerase_database/AF221925.98-540.ct
pseudoknot3,tmRNA,355,1.0,0.9897959232330322,0.9948717951774597,tmRNA_envi.sequ._TRW-259291_1-355.ct
group_II_intron,grp2,755,0.19230769574642181,0.11450381577014923,0.14354068040847778,grp2_a.I2.c.N.tabacum.B.RPC1.i1.ct
23S_rRNA,23s,708,0.6435643434524536,0.3125,0.4207119643688202,23s_T.thermophilus_domain2.ct
